date,total_sales,dcoilwtico,total_onpromotion,is_payday,post_earthquake,weeks_since_eq,eq_effect,is_holiday,holiday_type_Additional,holiday_type_Bridge,holiday_type_Celebrated,holiday_type_Event,holiday_type_Holiday,holiday_type_Transfer,holiday_type_Work Day,holiday_type_nan
2013-01-01,2511.618999,,0,False,0,0,0.0,True,False,False,False,False,True,False,False,False
2013-01-02,496092.417944,93.14,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-03,361461.231124,92.97,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-04,354459.6770927,93.12,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-05,477350.121229,,0,False,0,0,0.0,True,False,False,False,False,False,False,True,False
2013-01-06,519695.401088,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-07,336122.801066,93.2,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-08,318347.777981,93.21,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-09,302530.809018,93.08,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-10,258982.003049,93.81,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-11,289737.6850845,93.6,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-12,403258.2120105,,0,False,0,0,0.0,True,False,False,False,False,False,False,True,False
2013-01-13,464638.547998,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-14,293348.362078,94.27,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-15,299129.549954,93.26,0,True,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-16,318347.913946,94.28,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-17,267498.5159755,95.49,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-18,296130.850028,95.61,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-19,432459.852021,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-20,461092.386047,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-21,311211.26595000003,95.61,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-22,296214.728983,96.09,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-23,283258.4530325,95.06,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-24,247245.690995,95.35,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-25,290022.77193,95.15,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-26,413799.7679753,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-27,430411.991233,,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-28,285460.169953,95.95,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-29,264488.81807649997,97.62,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-30,281061.127052,97.98,0,False,0,0,0.0,False,False,False,False,False,False,False,False,True
2013-01-31,271254.217996,97.65,0,True,0,0,0.0,False,False,False,False,False,False,False,False,True
