,date,is_holiday,holiday_type,holiday_description
0,2012-03-02,True,Holiday,Fundacion de Manta
1,2012-04-01,True,Holiday,Provincializacion de Cotopaxi
2,2012-04-12,True,Holiday,Fundacion de Cuenca
3,2012-04-14,True,Holiday,Cantonizacion de Libertad
4,2012-04-21,True,Holiday,Cantonizacion de Riobamba
5,2012-05-12,True,Holiday,Cantonizacion del Puyo
6,2012-06-23,True,Holiday,Cantonizacion de Guaranda
7,2012-06-25,True,Holiday,Provincializacion de Imbabura | Cantonizacion de Latacunga | Fundacion de Machala
8,2012-07-03,True,Holiday,Fundacion de Santo Domingo | Cantonizacion de El Carmen
9,2012-07-23,True,Holiday,Cantonizacion de Cayambe
10,2012-08-05,True,Holiday,Fundacion de Esmeraldas
11,2012-08-10,True,Holiday,Primer Grito de Independencia
12,2012-08-15,True,Holiday,Fundacion de Riobamba
13,2012-08-24,True,Holiday,Fundacion de Ambato
14,2012-09-28,True,Holiday,Fundacion de Ibarra
15,2012-10-07,True,Holiday,Cantonizacion de Quevedo
16,2012-10-09,True,Holiday,Independencia de Guayaquil
17,2012-10-12,True,Transfer,Traslado Independencia de Guayaquil
18,2012-11-02,True,Holiday,Dia de Difuntos
19,2012-11-03,True,Holiday,Independencia de Cuenca
20,2012-11-06,True,Holiday,Provincializacion de Santo Domingo
21,2012-11-07,True,Holiday,Provincializacion Santa Elena
22,2012-11-10,True,Holiday,Independencia de Guaranda
23,2012-11-11,True,Holiday,Independencia de Latacunga
24,2012-11-12,True,Holiday,Independencia de Ambato
25,2012-12-05,True,Additional,Fundacion de Quito-1
26,2012-12-06,True,Holiday,Fundacion de Quito
27,2012-12-08,True,Holiday,Fundacion de Loja
28,2012-12-21,True,Additional,Navidad-4
29,2012-12-22,True,Holiday | Additional,Cantonizacion de Salinas | Navidad-3
30,2012-12-23,True,Additional,Navidad-2
31,2012-12-24,True,Bridge | Additional,Puente Navidad | Navidad-1
32,2012-12-25,True,Holiday,Navidad
33,2012-12-26,True,Additional,Navidad+1
34,2012-12-31,True,Bridge | Additional,Puente Primer dia del ano | Primer dia del ano-1
35,2013-01-01,True,Holiday,Primer dia del ano
36,2013-01-05,True,Work Day,Recupero puente Navidad
37,2013-01-12,True,Work Day,Recupero puente primer dia del ano
38,2013-02-11,True,Holiday,Carnaval
39,2013-02-12,True,Holiday,Carnaval
40,2013-03-02,True,Holiday,Fundacion de Manta
41,2013-04-01,True,Holiday,Provincializacion de Cotopaxi
42,2013-04-12,True,Holiday,Fundacion de Cuenca
43,2013-04-14,True,Holiday,Cantonizacion de Libertad
44,2013-04-21,True,Holiday,Cantonizacion de Riobamba
45,2013-04-29,True,Holiday,Viernes Santo
46,2013-05-01,True,Holiday,Dia del Trabajo
47,2013-05-11,True,Additional,Dia de la Madre-1
48,2013-05-12,True,Holiday | Event,Cantonizacion del Puyo | Dia de la Madre
49,2013-05-24,True,Holiday,Batalla de Pichincha
50,2013-06-23,True,Holiday,Cantonizacion de Guaranda
51,2013-06-25,True,Holiday,Provincializacion de Imbabura | Fundacion de Machala | Cantonizacion de Latacunga
52,2013-07-03,True,Holiday,Cantonizacion de El Carmen | Fundacion de Santo Domingo
53,2013-07-23,True,Holiday,Cantonizacion de Cayambe
54,2013-07-24,True,Additional,Fundacion de Guayaquil-1
55,2013-07-25,True,Holiday,Fundacion de Guayaquil
56,2013-08-05,True,Holiday,Fundacion de Esmeraldas
57,2013-08-10,True,Holiday,Primer Grito de Independencia
58,2013-08-15,True,Holiday,Fundacion de Riobamba
59,2013-08-24,True,Holiday,Fundacion de Ambato
60,2013-09-28,True,Holiday,Fundacion de Ibarra
61,2013-10-07,True,Holiday,Cantonizacion de Quevedo
62,2013-10-09,True,Holiday,Independencia de Guayaquil
63,2013-10-11,True,Transfer,Traslado Independencia de Guayaquil
64,2013-11-02,True,Holiday,Dia de Difuntos
65,2013-11-03,True,Holiday,Independencia de Cuenca
66,2013-11-06,True,Holiday,Provincializacion de Santo Domingo
67,2013-11-07,True,Holiday,Provincializacion Santa Elena
68,2013-11-10,True,Holiday,Independencia de Guaranda
69,2013-11-11,True,Holiday,Independencia de Latacunga
70,2013-11-12,True,Holiday,Independencia de Ambato
71,2013-12-05,True,Additional,Fundacion de Quito-1
72,2013-12-06,True,Holiday,Fundacion de Quito
73,2013-12-08,True,Holiday,Fundacion de Loja
74,2013-12-21,True,Additional,Navidad-4
75,2013-12-22,True,Additional | Holiday,Navidad-3 | Cantonizacion de Salinas
76,2013-12-23,True,Additional,Navidad-2
77,2013-12-24,True,Additional,Navidad-1
78,2013-12-25,True,Holiday,Navidad
79,2013-12-26,True,Additional,Navidad+1
80,2013-12-31,True,Additional,Primer dia del ano-1
81,2014-01-01,True,Holiday,Primer dia del ano
82,2014-03-02,True,Holiday,Fundacion de Manta
83,2014-03-03,True,Holiday,Carnaval
84,2014-03-04,True,Holiday,Carnaval
85,2014-04-01,True,Holiday,Provincializacion de Cotopaxi
86,2014-04-12,True,Holiday,Fundacion de Cuenca
87,2014-04-14,True,Holiday,Cantonizacion de Libertad
88,2014-04-18,True,Holiday,Viernes Santo
89,2014-04-21,True,Holiday,Cantonizacion de Riobamba
90,2014-05-01,True,Holiday,Dia del Trabajo
91,2014-05-10,True,Additional,Dia de la Madre-1
92,2014-05-11,True,Event,Dia de la Madre
93,2014-05-12,True,Holiday,Cantonizacion del Puyo
94,2014-05-24,True,Holiday,Batalla de Pichincha
95,2014-06-12,True,Event,Inauguracion Mundial de futbol Brasil
96,2014-06-15,True,Event,Mundial de futbol Brasil: Ecuador-Suiza
97,2014-06-20,True,Event,Mundial de futbol Brasil: Ecuador-Honduras
98,2014-06-23,True,Holiday,Cantonizacion de Guaranda
99,2014-06-25,True,Holiday | Event,Cantonizacion de Latacunga | Fundacion de Machala | Provincializacion de Imbabura | Mundial de futbol Brasil: Ecuador-Francia
100,2014-06-28,True,Event,Mundial de futbol Brasil: Octavos de Final
